Price,Volume,Market Cap
2393419.9984536325,1232741829887.3362,46611360496456.45
2202317.5732667907,2490180503970.639,42881035841603.76
2165644.3009247975,1502010984100.8447,42145283695563.38
2170795.0766012617,278994957249.1351,42251047773115.74
2175721.386360952,690654126462.17,42338847904247.62
2170848.4008961627,779420184933.5021,42262667842537.47
2162858.2275226014,1138430065478.7249,42075645245561.59
2183309.4287665947,1205200142378.2031,42506900809527.58
2159815.6643060762,988494757737.2017,42052762366862.77
2149889.7943216995,213157248849.17,41852620799814.586
2146421.075951313,282397536706.7762,41776522900453.12
2156115.973983835,392140134961.0048,41980005839430.75
2159026.4870353565,826583277674.7473,42036456351578.86
2286949.950305201,2429779469128.351,44512539431039.49
2257501.1003986946,1325684221352.1924,43973834782950.625
2143744.978878616,1683473181607.9944,41788482042524.516
2135295.355971279,1317343284357.2375,41584249408365.375
2138714.030613405,678626391713.2979,41666339871422.71
2147481.775067486,686703422373.0684,41818063170821.36
2137350.231191411,554465131484.4891,41577779078064.305
2143294.616446472,634543981200.5536,41786227107384.664
2144131.0817620084,1017860479278.009,41763291797787.83
2180306.1222950104,376420813077.06476,42439778244017.695
2151465.6829362125,669242551691.0033,41898946735475.34
2149978.9177428656,33617148974.34425,41885730691438.86
2145085.2033482553,548257835672.6108,41805526506749.85
2084618.5907835427,1232519605880.0447,40608989701128.164
2127506.513437282,1383853232363.3472,41453078999047.23
2175468.6697820765,1076463328005.0671,42384767981217.22
2202863.303343263,974707699401.3694,42914851724147.695
2213445.708433196,811834274781.1642,43120396845812.93
2207058.1372679626,101749579809.2201,42997773707277.91
2203524.129665394,481163455648.60474,42923426827507.375
2226364.249045383,1371864960399.852,43405289889254.766
2264713.5209924625,1049679386157.1342,44127083818247.67
2252241.012788149,1121075100245.7654,43952713486614.77
2201959.186232191,677250035551.5619,42921762470472.086
2208119.09524525,828337790940.5072,43077361492151.2
2208275.7681153077,547085500250.0959,43042829420667.625
2178058.846425977,599602501645.793,42465610482120.66
2181538.7554845912,993353232692.0021,42482379936764.23
2182852.376602991,815174418599.0919,42570279425816.75
2193284.7795098773,1072886887484.327,42759546094158.586
2250458.548244775,1390086561488.5188,43904098763452.08
2238906.674136451,753517531560.9138,43663782437640.586
2243288.221467407,523638868430.49414,43746096466321.56
2322283.835082606,777060872862.9486,45279191622259.42
2302017.987903053,1511095026737.2776,44874348949447.84
2283523.323057771,1054969691142.8868,44555940282735.08
